trendTime,all,one,two,three,half,res
2023-04-22 03:30:43,0.37,0.08,0.36,2.46,0.84,0.19
2023-04-22 03:50:42,0.37,0.08,0.37,2.5,0.85,0.19
2023-04-22 04:10:41,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-22 04:30:59,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-22 04:51:02,0.37,0.08,0.36,2.51,0.86,0.18
2023-04-22 05:11:02,0.37,0.08,0.36,2.45,0.84,0.19
2023-04-22 05:31:00,0.37,0.08,0.36,2.5,0.84,0.19
2023-04-22 05:51:00,0.37,0.08,0.36,2.5,0.85,0.19
2023-04-22 06:10:59,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-22 06:31:00,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 06:51:00,0.37,0.08,0.36,2.47,0.84,0.19
2023-04-22 07:10:58,0.37,0.08,0.36,2.45,0.85,0.18
2023-04-22 07:30:56,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-22 07:50:57,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-22 08:10:57,0.37,0.08,0.36,2.47,0.84,0.17
2023-04-22 08:30:58,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-22 08:50:58,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-22 09:10:57,0.37,0.08,0.37,2.5,0.86,0.2
2023-04-22 09:30:55,0.37,0.08,0.37,2.44,0.85,0.19
2023-04-22 09:56:54,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 10:16:55,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-22 10:36:55,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-22 10:56:58,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-22 11:16:56,0.38,0.08,0.37,2.45,0.85,0.19
2023-04-22 11:36:55,0.37,0.08,0.36,2.45,0.85,0.19
2023-04-22 11:56:57,0.37,0.08,0.37,2.48,0.85,0.18
2023-04-22 12:16:57,0.37,0.08,0.37,2.44,0.85,0.19
