time,GenPCal
2021-11-03 09:51:29.867,8522.54
2021-11-03 09:51:33.247,8500.01
2021-11-03 09:51:36.527,8512.22
2021-11-03 09:51:39.787,8496.67
2021-11-03 09:51:42.867,8521.17
2021-11-03 09:51:46.387,8504.45
2021-11-03 09:51:49.487,8507.6
2021-11-03 09:51:52.727,8499.35
2021-11-03 09:51:55.867,8520.64
2021-11-03 09:51:58.867,8499.81
2021-11-03 09:52:01.867,8505.86
2021-11-03 09:52:05.267,8498.18
2021-11-03 09:52:08.367,8511.89
2021-11-03 09:52:11.467,8520.13
2021-11-03 09:52:14.567,8496.7
2021-11-03 09:52:17.667,8514.53
2021-11-03 09:52:20.867,8410.1
2021-11-03 09:52:23.847,8313.46
2021-11-03 09:52:27.447,8208.57
2021-11-03 09:52:30.787,8133.03
2021-11-03 09:52:33.867,8025.38
2021-11-03 09:52:36.863,7943.33
2021-11-03 09:52:39.867,7838.3
2021-11-03 09:52:42.867,7756.71
2021-11-03 09:52:46.327,7661.58
2021-11-03 09:52:49.403,7593.54
2021-11-03 09:52:52.687,7577.31
2021-11-03 09:52:55.847,7590.47
2021-11-03 09:52:58.867,7588.28
2021-11-03 09:53:02.447,7594.86
2021-11-03 09:53:05.527,7577.48
2021-11-03 09:53:08.627,7586.03
2021-11-03 09:53:11.723,7592.62
2021-11-03 09:53:14.827,7592.63
2021-11-03 09:53:17.847,7586.3
2021-11-03 09:53:20.843,7577.66
2021-11-03 09:53:23.847,7597.08
2021-11-03 09:53:27.287,7592.63
2021-11-03 09:53:30.387,7577.87
2021-11-03 09:53:33.667,7599.6
2021-11-03 09:53:36.867,7577.16
2021-11-03 09:53:39.863,7583.39
2021-11-03 09:53:43.403,7577.27
2021-11-03 09:53:46.567,7598.0
2021-11-03 09:53:49.667,7578.25
2021-11-03 09:53:52.847,7590.34
2021-11-03 09:53:55.847,7588.31
2021-11-03 09:53:59.503,7597.78
2021-11-03 09:54:02.787,7579.47
2021-11-03 09:54:05.867,7579.29
2021-11-03 09:54:09.367,7583.81
2021-11-03 09:54:12.467,7578.36
2021-11-03 09:54:15.783,7584.25
2021-11-03 09:54:18.847,7582.3
2021-11-03 09:54:21.847,7591.24
2021-11-03 09:54:24.843,7574.29
2021-11-03 09:54:27.843,7585.05
2021-11-03 09:54:31.287,7584.8
2021-11-03 09:54:34.387,7576.41
2021-11-03 09:54:37.523,7589.79
2021-11-03 09:54:40.607,7576.03
