time,Ng,GenPCal
2021-11-02 12:14:30.333,12976.68,9522.63
2021-11-02 12:14:33.453,12977.12,9544.13
2021-11-02 12:14:36.577,12977.11,9528.64
2021-11-02 12:14:39.657,12972.6,9535.85
2021-11-02 12:14:42.653,12970.1,9533.77
2021-11-02 12:14:45.653,12978.37,9530.95
2021-11-02 12:14:48.653,12976.98,9540.68
2021-11-02 12:14:52.057,12968.86,9523.98
2021-11-02 12:14:55.213,12975.33,9552.0
2021-11-02 12:14:58.337,12979.91,9524.03
2021-11-02 12:15:01.433,12974.67,9540.62
2021-11-02 12:15:04.513,12966.81,9533.81
2021-11-02 12:15:07.613,12974.94,9526.49
2021-11-02 12:15:10.657,12976.58,9550.29
2021-11-02 12:15:13.633,12964.09,9540.77
2021-11-02 12:15:16.653,12971.05,9521.65
2021-11-02 12:15:20.057,12974.46,9528.08
2021-11-02 12:15:23.133,12970.38,9529.15
2021-11-02 12:15:26.293,12973.09,9551.74
2021-11-02 12:15:29.397,12965.95,9529.89
2021-11-02 12:15:32.513,12971.6,9537.87
2021-11-02 12:15:35.613,12976.75,9524.22
2021-11-02 12:15:38.653,12978.93,9539.0
2021-11-02 12:15:41.653,12975.98,9544.26
2021-11-02 12:15:44.657,12970.23,9523.32
2021-11-02 12:15:48.113,12971.07,9542.81
2021-11-02 12:15:51.213,12975.99,9522.14
2021-11-02 12:15:54.413,12981.65,9549.54
2021-11-02 12:15:57.533,12978.27,9523.36
2021-11-02 12:16:00.637,12974.81,9541.05
2021-11-02 12:16:03.653,12976.42,9531.95
2021-11-02 12:16:06.653,12970.94,9521.82
2021-11-02 12:16:09.653,12964.29,9546.8
2021-11-02 12:16:13.077,12971.78,9521.19
2021-11-02 12:16:16.153,12968.9,9542.54
2021-11-02 12:16:19.293,12970.46,9530.12
2021-11-02 12:16:22.373,12971.6,9526.69
2021-11-02 12:16:25.473,12971.51,9550.11
2021-11-02 12:16:28.573,12978.25,9522.08
2021-11-02 12:16:31.653,12981.8,9542.68
2021-11-02 12:16:34.653,12974.48,9528.32
2021-11-02 12:16:37.653,12970.08,9527.55
2021-11-02 12:16:41.153,12975.38,9531.45
2021-11-02 12:16:44.253,12979.62,9531.11
2021-11-02 12:16:47.353,12971.63,9538.5
2021-11-02 12:16:50.433,12969.77,9522.26
2021-11-02 12:16:53.653,12963.58,9544.92
2021-11-02 12:16:57.193,12974.62,9522.61
2021-11-02 12:17:00.293,12972.05,9539.58
2021-11-02 12:17:03.413,12972.12,9525.26
2021-11-02 12:17:06.493,12977.96,9545.09
2021-11-02 12:17:09.653,12981.02,9537.86
2021-11-02 12:17:12.653,12975.91,9523.04
2021-11-02 12:17:15.653,12971.76,9541.64
2021-11-02 12:17:19.093,12974.98,9522.44
2021-11-02 12:17:22.193,12975.87,9550.84
2021-11-02 12:17:25.293,12970.77,9523.6
